Company Name,Industry,Symbol,Series
Maheshwari Logistics Ltd,Trading,MAHESHWARI,EQ
Mahindra Lifespace Developers Ltd,Realty,MAHLIFE,EQ
Mahindra Logistics Ltd,Logistics,MAHLOG,EQ
Maharashtra Scooters Ltd,Finance,MAHSCOOTER,EQ
Maharashtra Seamless Ltd,Capital Goods-Non Electrical Equipment,MAHSEAMLES,EQ
Maithan Alloys Ltd,Ferro Alloys,MAITHANALL,EQ
Mallcom (India) Ltd,Textiles,MALLCOM,EQ
Mamata Machinery Ltd,Capital Goods-Non Electrical Equipment,MAMATA,EQ
Manaksia Aluminium Company Ltd,Non Ferrous Metals,MANAKALUCO,EQ
Manaksia Coated Metals & Industries Ltd,Steel,MANAKCOAT,EQ
Manaksia Ltd,Trading,MANAKSIA,EQ
Manaksia Steels Ltd,Steel,MANAKSTEEL,EQ
Manali Petrochemicals Ltd,Petrochemicals,MANALIPETC,EQ
Mangalam Drugs and Organics Ltd,Pharmaceuticals,MANGALAM,EQ
Mangalam Cement Ltd,Cement,MANGLMCEM,EQ
Man Industries (India) Ltd,Steel,MANINDS,EQ
Man Infraconstruction Ltd,Construction,MANINFRA,EQ
Manipal Health Enterprises Ltd,Healthcare,MANIPALHOS,EQ
Mankind Pharma Ltd,Pharmaceuticals,MANKIND,EQ
Manomay Tex India Ltd,Textiles,MANOMAY,EQ
Manorama Industries Ltd,FMCG,MANORAMA,EQ
Mangalam Organics Ltd,Chemicals,MANORG,EQ
Vedant Fashions Ltd,Readymade Garments/ Apparells,MANYAVAR,EQ
CE Info Systems Ltd,IT - Software,MAPMYINDIA,EQ
Maral Overseas Ltd,Textiles,MARALOVER,EQ
Marathon Nextgen Realty Ltd,Realty,MARATHON,EQ
Marico Ltd,FMCG,MARICO,EQ
Marine Electricals (India) Ltd,Capital Goods - Electrical Equipment,MARINE,EQ
Marksans Pharma Ltd,Pharmaceuticals,MARKSANS,EQ
Marsons Ltd,Capital Goods - Electrical Equipment,MARSONS,EQ
Maruti Suzuki India Ltd,Automobile,MARUTI,EQ
Mastek Ltd,IT - Software,MASTEK,EQ
Matrimonycom Ltd,Miscellaneous,MATRIMONY,EQ
Mawana Sugars Ltd,Sugar,MAWANASUG,EQ
Max Estates Ltd,Realty,MAXESTATES,EQ
Max Healthcare Institute Ltd,Healthcare,MAXHEALTH,EQ
Max India Ltd,Finance,MAXIND,EQ
Mayur Uniquoters Ltd,Leather,MAYURUNIQ,EQ
Mazda Ltd,Capital Goods-Non Electrical Equipment,MAZDA,EQ
Mazagon Dock Shipbuilders Ltd,Aerospace & Defence,MAZDOCK,EQ
Madhya Bharat Agro Products Ltd,Fertilizers,MBAPL,EQ
McNally Bharat Engineering Company Ltd,Infrastructure Developers & Operators,MBECL,EQ
M & B Engineering Ltd,Construction,MBEL,EQ
MBL Infrastructure Ltd,Infrastructure Developers & Operators,MBLINFRA,EQ
M Tek Copper Ltd,Non Ferrous Metals,MCL,EQ
Mcleod Russel India Ltd,Plantation & Plantation Products,MCLEODRUSS,EQ
Magellanic Cloud Ltd,IT - Software,MCLOUD,EQ
Multi Commodity Exchange of India Ltd,Financial Services,MCX,EQ
Global Health Ltd,Healthcare,MEDANTA,EQ
Medi Assist Healthcare Services Ltd,Miscellaneous,MEDIASSIST,EQ
Medicamen Biotech Ltd,Pharmaceuticals,MEDICAMEQ,EQ
Medico Remedies Ltd,Pharmaceuticals,MEDICO,EQ
Medplus Health Services Ltd,Retail,MEDPLUS,EQ
Meesho Ltd,Logistics,MEESHO,EQ
Megastar Foods Ltd,FMCG,MEGASTAR,EQ
Mangal Electrical Industries Ltd,Capital Goods - Electrical Equipment,MEIL,EQ
Menon Bearings Ltd,Auto Ancillaries,MENONBE,EQ
Metro Brands Ltd,Leather,METROBRAND,EQ
Metropolis Healthcare Ltd,Healthcare,METROPOLIS,EQ
Mangalam Global Enterprise Ltd,Trading,MGEL,EQ
Mahanagar Gas Ltd,Gas Distribution,MGL,EQ
Mahalaxmi Rubtech Ltd,Textiles,MHLXMIRU,EQ
Mahindra Holidays & Resorts India Ltd,Hotels & Restaurants,MHRIL,EQ
MIC Electronics Ltd,Consumer Durables,MICEL,EQ
Mishra Dhatu Nigam Ltd,Aerospace & Defence,MIDHANI,EQ
Midwest Ltd,Consumer Durables,MIDWESTLTD,EQ
Milky Mist Dairy Food Ltd,FMCG,MILKYMIST,EQ
Minda Corporation Ltd,Auto Ancillaries,MINDACORP,EQ
Mindspace Business Parks REIT,Real Estate Investment Trusts,MINDSPACE,EQ
Mindteck (India) Ltd,IT - Software,MINDTECK,EQ
Mirza International Ltd,Leather,MIRZAINT,EQ
Mitcon Consultancy & Engineering Services Ltd,Miscellaneous,MITCON,EQ
