Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,Action,Action_Reason
MAITHANALL,2026-08-25,988.75,0.04946131123322828,-0.022092041187157796,0.046669525466198625,-0.06969179773551615,0.010761661801996248,985.8203538868526,-0.4073324984098181,Stage 3 — Topping,1003.845095166973,1210.0999755859375,False,821.6008602723305,0.3969901168818843,1.055629901872136,36230476.9329895,1002.7719970703125,True,0.2971784972380265,False,-18.291875055923256,True,False,True,False,False,False,False,False,985.9682739257812,985.6782028198243,False,2.312083148732391,3,0.2677379893262961,21.05197960000359,0.49017967446740524,False,1210.0999755859375,0.041875604209695994,0.05037613605116528,False,22.386849616782545,47.0,False,False,2,True,True,False,True,False,False,True,False,4,False,False,,Maithan Alloys Ltd,Ferro Alloys,EQ,SELL,Stage 3 + RS 47; RS below 50 in Stage 3 triggers SELL.
MALLCOM,2026-08-25,1016.7999877929688,-0.010124575421797344,-0.11843248979510623,-0.1634030217473771,-0.1648460059195328,-0.09338613366112217,1055.0482729155442,-0.6755821193436429,Stage 4 — Declining,1020.7970581054688,1520.0,False,929.0,1.212114052135081,0.6980928002307387,2320419.132885742,1020.2119982910157,True,-3.625263990706251,False,-33.10526396098889,False,False,False,False,True,False,False,False,1055.918663330078,1092.3299978637694,False,2.6553899177614375,3,0.5131629527391433,16.593503072870938,0.5682564643589386,False,1139.0,0.0430635791142777,0.0626115367731742,False,12.018097332227008,27.0,False,False,0,False,False,False,False,False,False,False,False,0,False,False,,Mallcom (India) Ltd,Leather Products - Others,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
MAMATA,2026-08-25,410.3999938964844,-0.012776728170951324,-0.06179981127144529,-0.001502425487194925,0.00310988233512699,-0.017149162153083177,396.9157246628853,0.29944422684275995,Stage 2 — Advancing,399.97536453546263,514.3336672504768,False,296.61573458793464,0.2312398845994667,1.87223999697581,34768566.223040774,400.5954315185547,False,3.3972625410725987,False,-20.207441194662735,True,True,True,True,False,False,False,False,396.7624582926432,401.9606071472168,False,2.8813356441907834,3,0.6050102184606307,16.72856466505353,0.9923831376387136,False,435.0,0.01738128719299199,0.02134067250781317,False,5.994153623140774,41.0,False,False,4,True,False,False,False,True,True,True,False,4,False,False,,Mamata Machinery Ltd,Engineering - General,EQ,WAIT,Stage 2 + RS 41; wait because relative strength is below 50 — the trend has turned up but the stock still lags most of the universe.
MANAKCOAT,2026-08-25,124.08999633789062,0.15669274561772073,0.08479759594368863,-0.07388617620273563,-0.15285204373680628,0.03428897344791764,113.70458911216423,-0.22023180768111494,Stage 3 — Topping,118.9901959288354,182.82000732421875,False,94.19999694824219,0.18648487471663114,0.7668846269229208,54071341.93340187,119.14399978637695,False,9.133674644812873,False,-32.12449876023386,True,True,True,False,False,False,False,False,114.06186670939128,119.50099998474121,False,4.158848402750113,1,0.9624232376989134,21.35003457578972,1.531958042445003,False,130.9600067138672,0.005255467583340716,0.007563053181896493,False,5.5363128203097745,51.0,True,True,4,True,False,False,False,True,True,False,False,3,False,False,,Manaksia Coated Metals & Industries Ltd,Aluminium Products,EQ,REDUCE,Stage 3 with RS 51; the guide requires REDUCE when RS is 50 or higher.
MANAKSIA,2026-08-25,57.70000076293945,-0.07249635730438198,-0.03252848166604283,-0.07189959044005056,-0.17946528706844744,-0.08577721475666096,58.19537913881499,-0.7389426586607906,Stage 4 — Declining,57.8194117826574,73.4000015258789,False,42.099998474121094,0.43308185200496074,2.101669046701574,1197705.4562454224,57.78060005187988,True,-0.8512331790018979,False,-21.38964637133427,False,False,False,False,False,False,False,False,58.423733189900716,59.69799987792969,False,3.524387329073774,2,1.1055988138550936,10.717781038490047,1.3809187788347832,False,61.29999923706055,0.0024437141793658755,0.0031411168623338434,False,6.239165383916889,28.0,False,False,0,False,False,False,False,False,True,True,False,2,False,False,,Manaksia Ltd,Trading,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
MANAKSTEEL,2026-08-25,86.73999786376953,0.2585606524704427,0.4375206769045623,0.4247699793355948,0.45781509014738697,0.3674454102656859,67.30006908548289,2.5497731029515913,Stage 2 — Advancing,77.13921595554726,89.9000015258789,False,45.11000061035156,0.4485813714001634,1.2018931227933005,9661610.530978013,77.31240020751953,False,28.885451445219946,True,-3.5150206990816613,True,True,True,True,False,False,False,False,67.03086677551269,66.18620002746582,True,4.996870299598683,1,0.7177025325032204,27.57508397637926,1.9668526636658055,False,89.9000015258789,0.003673618022445602,0.003716439535696746,False,3.6430755590660224,86.0,False,True,5,True,True,True,True,True,True,True,True,8,True,False,,Manaksia Steels Ltd,Steel,EQ,WAIT,"Stage 2 + RS 86; wait because price is more than 20% above the 30-week line (currently +29%) — the guide treats that as poor entry timing, not a failed trend."
MANALIPETC,2026-08-25,74.87000274658203,0.23813463263084533,0.36325574003601324,0.13836105470555715,0.1392131580606204,0.2234198436127763,58.76842454361589,1.7638706409808247,Stage 2 — Advancing,66.06862730138442,78.72000122070312,False,39.130001068115234,1.1573485704163926,5.532807054177236,109520240.5566887,66.0363998413086,False,27.39834924622848,True,-4.890750018317524,True,True,True,True,False,False,False,False,58.662599868774414,59.69359983444214,False,4.684308537542409,1,2.029568041016503,23.65345840681342,4.288640938373531,False,78.72000122070312,0.0031708992184017407,0.003305838099414136,False,5.142244334025814,76.0,True,True,5,True,False,False,True,True,True,True,True,6,False,False,,Manali Petrochemicals Ltd,Petrochem - Polymers,EQ,HOLD,Stage 2 + RS 76; trend/leadership is adequate without a stronger entry trigger.
MANGALAM,2026-08-25,32.84000015258789,0.12697326151124844,0.12465751008706527,-0.09581496617502028,-0.5926063775718329,-0.06196346212745822,29.80931498906384,-3.4153320469782367,Stage 3 — Topping,28.023921667360792,82.36000061035156,False,22.799999237060547,9.323910203597661,4.742867998192025,1338366.6753299714,27.990600090026856,False,10.166906433897992,False,-60.12627500094951,True,True,False,False,False,False,False,False,30.29586659749349,31.822199964523314,False,5.646423995965727,3,2.25439997105866,23.030843867259957,2.800352130653715,False,33.38999938964844,0.0013908418191010128,0.0034507974055052225,False,1.6747845143271212,34.0,False,False,2,True,False,False,False,True,True,False,False,3,False,False,,Mangalam Drugs and Organics Ltd,Pharmaceuticals Bulk Drugs & Formulation,EQ,SELL,Stage 3 + RS 34; RS below 50 in Stage 3 triggers SELL.
MANGLMCEM,2026-08-25,1034.5,0.22935288199937198,0.1242503670060926,0.5054796115708036,0.4530204362889565,0.30829123577291934,878.6817589069235,1.3877705834970833,Stage 2 — Advancing,934.9516529756434,1084.949951171875,False,678.2213010338754,0.9397430567800241,8.642873194870804,212184900.76306456,936.6569677734375,False,17.733182635646582,False,-4.6499795790011405,True,True,True,True,False,False,False,False,874.1378527832031,842.5230725097656,True,3.524886405358703,2,1.624592879885514,22.903546999080465,7.410501697215559,False,1084.949951171875,0.04381321118071353,0.04446287598388306,False,4.876747334159015,82.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Mangalam Cement Ltd,Cement,EQ,HOLD,Stage 2 + RS 82; trend/leadership is adequate without a stronger entry trigger.
MANINDS,2026-08-25,711.5,0.27030892878664803,0.6441363373772386,0.512221041445271,0.8037773557643135,0.5001505184320238,498.52260140196915,4.337087354189317,Stage 2 — Advancing,576.3078421798407,735.0,False,302.04998779296875,0.7436174495342446,8.423533531853344,709930202.2855804,576.4079992675781,False,42.72171371951554,True,-3.197278911564627,True,True,True,True,False,False,False,False,493.8196653238932,473.2384992980957,True,4.687782473717812,1,2.5042988774991124,30.945579892113095,4.149876786427333,False,735.0,0.030133494205005006,0.030542174682273226,False,3.302881236823607,91.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Man Industries (India) Ltd,Steel - Tubes/Pipes,EQ,WAIT,"Stage 2 + RS 91; wait because price is more than 20% above the 30-week line (currently +43%) — the guide treats that as poor entry timing, not a failed trend."
