Symbol,TV_Sector,TV_Industry
SOMATEX,Process Industries,Textiles
SOMICONVEY,Producer Manufacturing,Miscellaneous Manufacturing
SONACOMS,Producer Manufacturing,Auto Parts: OEM
SONAMLTD,Consumer Durables,Other Consumer Specialties
SONATSOFTW,Technology Services,Information Technology Services
SOTAC,Health Technology,Pharmaceuticals: Major
SOTL,Process Industries,Chemicals: Specialty
SOUTHBANK,Finance,Major Banks
SOUTHWEST,Energy Minerals,Coal
SPAL,Consumer Non-Durables,Apparel/Footwear
SPANDANA,Finance,Finance/Rental/Leasing
SPARC,Health Technology,Pharmaceuticals: Major
SPCENET,Commercial Services,Advertising/Marketing Services
SPCL,Producer Manufacturing,Electrical Products
SPEB,Process Industries,Industrial Specialties
SPECIALITY,Consumer Services,Restaurants
SPECTRUM,Electronic Technology,Electronic Equipment/Instruments
SPECTSTM,Commercial Services,Personnel Services
SPENCERS,Retail Trade,Food Retail
SPIC,Process Industries,Chemicals: Agricultural
SPLPETRO,Process Industries,Industrial Specialties
SPMLINFRA,Industrial Services,Engineering & Construction
SPORTKING,Process Industries,Textiles
SPUNWEB,Process Industries,Textiles
SRD,Distribution Services,Wholesale Distributors
SREEL,Retail Trade,Apparel/Footwear Retail
SRF,Process Industries,Industrial Specialties
SRGHFL,Finance,Finance/Rental/Leasing
SRHHYPOLTD,Process Industries,Chemicals: Specialty
SRM,Industrial Services,Engineering & Construction
SSDL,Distribution Services,Wholesale Distributors
SSEGL,Industrial Services,Engineering & Construction
SSFL,Consumer Non-Durables,Food: Specialty/Candy
SSFLPP.E1,Finance,Finance/Rental/Leasing
SSWL,Producer Manufacturing,Auto Parts: OEM
STALLION,Distribution Services,Wholesale Distributors
STANLEY,Consumer Durables,Home Furnishings
STAR,Health Technology,Pharmaceuticals: Major
STARCEMENT,Non-Energy Minerals,Construction Materials
STARHEALTH,Finance,Life/Health Insurance
STARPAPER,Process Industries,Pulp & Paper
STARTECK,Finance,Finance/Rental/Leasing
STCINDIA,Distribution Services,Food Distributors
STEELCAS,Non-Energy Minerals,Steel
STEELCITY,Finance,Investment Banks/Brokers
STEELXIND,Non-Energy Minerals,Steel
STEL,Finance,Financial Conglomerates
STERTOOLS,Producer Manufacturing,Metal Fabrication
STLTECH,Technology Services,Information Technology Services
STOVEKRAFT,Consumer Durables,Electronics/Appliances
STUDDS,Consumer Durables,Recreational Products
STYL,Technology Services,Packaged Software
STYLAMIND,Non-Energy Minerals,Forest Products
STYLEBAAZA,Retail Trade,Apparel/Footwear Retail
STYRENIX,Process Industries,Chemicals: Specialty
SUBAHOTELS,Consumer Services,Hotels/Resorts/Cruise lines
SUBEXLTD,Technology Services,Packaged Software
SUBROS,Producer Manufacturing,Industrial Machinery
SUDARCOLOR,Process Industries,Chemicals: Major Diversified
SUDARSCHEM,Process Industries,Chemicals: Specialty
SUDEEPPHRM,Health Technology,Pharmaceuticals: Other
SUKHJITS,Consumer Non-Durables,Food: Specialty/Candy
SULA,Process Industries,Agricultural Commodities/Milling
SUMEETINDS,Process Industries,Textiles
SUMICHEM,Process Industries,Chemicals: Agricultural
SUMIT,Finance,Real Estate Development
SUMMITSEC,Miscellaneous,Investment Trusts/Mutual Funds
SUNCLAY,Producer Manufacturing,Auto Parts: OEM
SUNDARMFIN,Finance,Finance/Rental/Leasing
SUNDRMBRAK,Producer Manufacturing,Auto Parts: OEM
SUNDRMFAST,Producer Manufacturing,Auto Parts: OEM
SUNDROP,Process Industries,Agricultural Commodities/Milling
SUNFLAG,Non-Energy Minerals,Steel
SUNLITE,Non-Energy Minerals,Other Metals/Minerals
SUNPHARMA,Health Technology,Pharmaceuticals: Major
SUNTECK,Finance,Real Estate Development
SUNTV,Consumer Services,Broadcasting
SUPERHOUSE,Consumer Non-Durables,Apparel/Footwear
SUPRAJIT,Producer Manufacturing,Auto Parts: OEM
SUPREME,Finance,Real Estate Development
SUPREMEIND,Producer Manufacturing,Miscellaneous Manufacturing
SUPREMEINF,Industrial Services,Engineering & Construction
SUPREMEPWR,Producer Manufacturing,Electrical Products
SUPRIYA,Health Technology,Pharmaceuticals: Major
SURAJEST,Industrial Services,Engineering & Construction
SURAJLTD,Non-Energy Minerals,Steel
SURAKSHA,Health Services,Medical/Nursing Services
SURANASOL,Electronic Technology,Semiconductors
SURANAT&P,Distribution Services,Wholesale Distributors
SURYALAXMI,Process Industries,Textiles
SURYAROSNI,Non-Energy Minerals,Steel
SURYODAY,Finance,Regional Banks
SUTLEJTEX,Process Industries,Textiles
SUVEN,Health Technology,Pharmaceuticals: Major
SUYOG,Industrial Services,Engineering & Construction
SUZLON,Producer Manufacturing,Electrical Products
SVLL,Transportation,Air Freight/Couriers
SWANCORP,Utilities,Electric Utilities
SWANDEF,Producer Manufacturing,Trucks/Construction/Farm Machinery
SWARAJENG,Producer Manufacturing,Auto Parts: OEM
SWELECTES,Producer Manufacturing,Electrical Products
SWIGGY,Transportation,Air Freight/Couriers
SWSOLAR,Industrial Services,Engineering & Construction
SYMPHONY,Producer Manufacturing,Industrial Machinery
SYNCOMF,Health Technology,Pharmaceuticals: Major
SYNGENE,Commercial Services,Miscellaneous Commercial Services
SYRMA,Electronic Technology,Electronic Production Equipment
SYSTANGO,Technology Services,Packaged Software
SYSTMTXC,Finance,Investment Banks/Brokers
TAC,Technology Services,Packaged Software
TAINWALCHM,Process Industries,Containers/Packaging
TAJGVK,Consumer Services,Hotels/Resorts/Cruise lines
TAKE,Technology Services,Information Technology Services
TALBROAUTO,Producer Manufacturing,Industrial Machinery
