Symbol,TV_Sector,TV_Industry
ACMESOLAR,Industrial Services,Engineering & Construction
ACTIVEINFR,Industrial Services,Engineering & Construction
ACUTAAS,Health Technology,Pharmaceuticals: Major
ADANIENPP1.E1,Distribution Services,Wholesale Distributors
ADANIENSOL,Utilities,Electric Utilities
ADANIENT,Distribution Services,Wholesale Distributors
ADANIGREEN,Utilities,Electric Utilities
ADANIPORTS,Transportation,Other Transportation
ADANIPOWER,Utilities,Electric Utilities
ADDICTIVE,Technology Services,Internet Software/Services
ADFFOODS,Consumer Non-Durables,Food: Specialty/Candy
ADOR,Producer Manufacturing,Miscellaneous Manufacturing
ADSL,Technology Services,Information Technology Services
ADVAIT,Producer Manufacturing,Electrical Products
ADVANCE,Process Industries,Chemicals: Agricultural
ADVANIHOTR,Consumer Services,Hotels/Resorts/Cruise lines
ADVENTHTL,Industrial Services,Engineering & Construction
ADVENZYMES,Consumer Non-Durables,Food: Specialty/Candy
AEGISLOG,Distribution Services,Wholesale Distributors
AEGISVOPAK,Transportation,Air Freight/Couriers
AEQUS,Electronic Technology,Aerospace & Defense
AEROENTER,Producer Manufacturing,Industrial Machinery
AEROFLEX,Producer Manufacturing,Industrial Machinery
AERON,Producer Manufacturing,Miscellaneous Manufacturing
AERONEU,Process Industries,Containers/Packaging
AESTHETIK,Consumer Durables,Home Furnishings
AETHER,Process Industries,Chemicals: Major Diversified
AFCONS,Industrial Services,Engineering & Construction
AFFLE,Technology Services,Packaged Software
AFFORDABLE,Producer Manufacturing,Industrial Machinery
AFIL,Technology Services,Internet Software/Services
AFSL,Finance,Investment Managers
AGARIND,Process Industries,Chemicals: Specialty
AGARWALEYE,Health Services,Medical/Nursing Services
AGARWALTUF,Process Industries,Industrial Specialties
AGI,Process Industries,Containers/Packaging
AGIIL,Finance,Real Estate Development
AHCL,Health Technology,Pharmaceuticals: Major
AHLEAST,Consumer Services,Hotels/Resorts/Cruise lines
AHLUCONT,Industrial Services,Engineering & Construction
AIAENG,Producer Manufacturing,Industrial Machinery
AIIL,Finance,Financial Conglomerates
AIMTRON,Electronic Technology,Electronic Components
AIRAN,Technology Services,Information Technology Services
AIROLAM,Non-Energy Minerals,Forest Products
AJANTPHARM,Health Technology,Pharmaceuticals: Major
AJAXENGG,Producer Manufacturing,Trucks/Construction/Farm Machinery
AJMERA,Finance,Real Estate Development
AKANKSHA,Producer Manufacturing,Electrical Products
AKIKO,Finance,Finance/Rental/Leasing
AKSHARCHEM,Process Industries,Chemicals: Specialty
AKUMS,Health Technology,Biotechnology
AKZOINDIA,Process Industries,Industrial Specialties
ALANKIT,Technology Services,Internet Software/Services
ALBERTDAVD,Health Technology,Pharmaceuticals: Major
ALEMBICLTD,Health Technology,Pharmaceuticals: Major
ALGOQUANT,Finance,Investment Banks/Brokers
ALICON,Producer Manufacturing,Auto Parts: OEM
ALIVUS,Health Technology,Pharmaceuticals: Major
ALKEM,Health Technology,Pharmaceuticals: Major
ALKYLAMINE,Process Industries,Chemicals: Specialty
ALLCARGO,Transportation,Air Freight/Couriers
ALLDIGI,Commercial Services,Miscellaneous Commercial Services
ALLETEC,Technology Services,Information Technology Services
ALLTIME,Producer Manufacturing,Miscellaneous Manufacturing
ALMONDZ,Finance,Investment Banks/Brokers
ALOKINDS,Process Industries,Textiles
ALPA,Health Technology,Pharmaceuticals: Major
ALPEXSOLAR,Electronic Technology,Semiconductors
ALPHAGEO,Industrial Services,Oilfield Services/Equipment
ALUWIND,Producer Manufacturing,Building Products
AMAGI,Technology Services,Packaged Software
AMANTA,Health Technology,Pharmaceuticals: Major
AMBER,Producer Manufacturing,Industrial Machinery
AMBIKCO,Process Industries,Textiles
AMBUJACEM,Non-Energy Minerals,Construction Materials
AMCL,Non-Energy Minerals,Aluminum
AMJLAND,Finance,Real Estate Development
AMNPLST,Process Industries,Chemicals: Specialty
AMRUTANJAN,Health Technology,Pharmaceuticals: Other
ANANDRATHI,Finance,Investment Managers
ANANTRAJ,Consumer Durables,Homebuilding
ANDHRAPAP,Process Industries,Pulp & Paper
ANDHRSUGAR,Process Industries,Chemicals: Specialty
ANGELONE,Finance,Investment Banks/Brokers
ANIKINDS,Distribution Services,Wholesale Distributors
ANLON,Distribution Services,Wholesale Distributors
ANNAPURNA,Consumer Non-Durables,Food: Specialty/Candy
ANONDITA,Producer Manufacturing,Miscellaneous Manufacturing
ANTELOPUS,Energy Minerals,Integrated Oil
ANTHEM,Health Technology,Biotechnology
ANUHPHR,Health Technology,Pharmaceuticals: Major
ANUP,Producer Manufacturing,Industrial Machinery
ANURAS,Health Technology,Pharmaceuticals: Major
ANYA,Process Industries,Chemicals: Agricultural
APARINDS,Electronic Technology,Electronic Equipment/Instruments
APCL,Non-Energy Minerals,Construction Materials
APCOTEXIND,Process Industries,Chemicals: Specialty
APEX,Consumer Non-Durables,Food: Meat/Fish/Dairy
APEXECO,Utilities,Water Utilities
APLAPOLLO,Non-Energy Minerals,Steel
APLLTD,Health Technology,Pharmaceuticals: Major
APOLLO,Electronic Technology,Electronic Production Equipment
APOLLOHOSP,Health Services,Hospital/Nursing Management
APOLLOPIPE,Producer Manufacturing,Miscellaneous Manufacturing
APOLLOTYRE,Consumer Durables,Automotive Aftermarket
APOLSINHOT,Consumer Services,Hotels/Resorts/Cruise lines
APRAMEYA,Distribution Services,Wholesale Distributors
APS,Electronic Technology,Semiconductors
APTECHT,Commercial Services,Miscellaneous Commercial Services
APTUS,Finance,Finance/Rental/Leasing
AQYLON,Consumer Services,Movies/Entertainment
ARCHIDPLY,Producer Manufacturing,Building Products
ARE&M,Producer Manufacturing,Electrical Products
ARFIN,Non-Energy Minerals,Aluminum
ARIES,Process Industries,Chemicals: Agricultural
ARIHANTACA,Commercial Services,Miscellaneous Commercial Services
ARIHANTCAP,Finance,Investment Banks/Brokers
ARIHANTSUP,Finance,Real Estate Development
ARIS,Technology Services,Packaged Software
ARKADE,Consumer Durables,Homebuilding
ARMANFIN,Finance,Finance/Rental/Leasing
ARROWGREEN,Process Industries,Containers/Packaging
ARSSBL,Finance,Investment Banks/Brokers
ARTEMISMED,Health Services,Hospital/Nursing Management
ARTNIRMAN,Consumer Durables,Homebuilding
ARVEE,Process Industries,Chemicals: Specialty
ARVIND,Process Industries,Textiles
ARVINDFASN,Retail Trade,Apparel/Footwear Retail
ARVSMART,Finance,Real Estate Development
ASAHIINDIA,Consumer Durables,Home Furnishings
ASAHISONG,Process Industries,Chemicals: Specialty
ASAL,Producer Manufacturing,Auto Parts: OEM
ASALCBR,Consumer Non-Durables,Beverages: Alcoholic
ASCOM,Finance,Finance/Rental/Leasing
ASHAPURMIN,Non-Energy Minerals,Other Metals/Minerals
ASHIANA,Finance,Real Estate Development
ASHIMASYN,Process Industries,Textiles
ASHOKA,Industrial Services,Engineering & Construction
ASHOKLEY,Producer Manufacturing,Trucks/Construction/Farm Machinery
ASHWINI,Transportation,Trucking
ASIANENE,Energy Minerals,Oil & Gas Production
ASIANHOTNR,Consumer Services,Hotels/Resorts/Cruise lines
ASIANPAINT,Process Industries,Industrial Specialties
ASIANTILES,Producer Manufacturing,Building Products
ASKAUTOLTD,Producer Manufacturing,Auto Parts: OEM
ASMS,Electronic Technology,Semiconductors
ASPINWALL,Transportation,Air Freight/Couriers
ASTEC,Process Industries,Chemicals: Agricultural
ASTERDM,Health Services,Hospital/Nursing Management
ASTRAL,Producer Manufacturing,Miscellaneous Manufacturing
ASTRAMICRO,Electronic Technology,Telecommunications Equipment
ASTRAZEN,Health Technology,Pharmaceuticals: Major
ATALREAL,Consumer Durables,Homebuilding
ATGL,Utilities,Gas Distributors
ATHERENERG,Consumer Durables,Motor Vehicles
ATL,Transportation,Marine Shipping
ATLANTAA,Industrial Services,Engineering & Construction
ATLANTAELE,Producer Manufacturing,Electrical Products
ATLPP.E1,Transportation,Marine Shipping
ATMASTCO,Producer Manufacturing,Metal Fabrication
ATUL,Process Industries,Chemicals: Agricultural
ATULAUTO,Consumer Durables,Motor Vehicles
AUBANK,Finance,Regional Banks
AURIONPRO,Technology Services,Information Technology Services
AUROPHARMA,Health Technology,Pharmaceuticals: Other
AURUM,Technology Services,Packaged Software
AUSOMENT,Finance,Investment Banks/Brokers
AUTOAXLES,Producer Manufacturing,Auto Parts: OEM
AUTOIND,Producer Manufacturing,Auto Parts: OEM
AVADHSUGAR,Process Industries,Agricultural Commodities/Milling
AVALON,Electronic Technology,Electronic Production Equipment
AVANA,Producer Manufacturing,Electrical Products
AVANTEL,Electronic Technology,Telecommunications Equipment
AVANTIFEED,Process Industries,Agricultural Commodities/Milling
AVG,Transportation,Air Freight/Couriers
AVIANSH,Process Industries,Textiles
AVL,Retail Trade,Electronics/Appliance Stores
AVONMORE,Finance,Investment Managers
AVPINFRA,Industrial Services,Engineering & Construction
AVROIND,Consumer Durables,Home Furnishings
AVTNPL,Consumer Non-Durables,Food: Specialty/Candy
AWFIS,Finance,Real Estate Development
AWHCL,Transportation,Trucking
AWL,Process Industries,Agricultural Commodities/Milling
AXISBANK,Finance,Major Banks
AXISCADES,Commercial Services,Miscellaneous Commercial Services
AXITA,Process Industries,Agricultural Commodities/Milling
AYE,Finance,Finance/Rental/Leasing
AYMSYNTEX,Process Industries,Textiles
AZAD,Producer Manufacturing,Metal Fabrication
BAFNAPH,Health Technology,Pharmaceuticals: Major
BAGDIGITAL,Consumer Services,Broadcasting
BAGFILMS,Consumer Services,Broadcasting
BAHETI,Producer Manufacturing,Metal Fabrication
BAIDFIN,Finance,Finance/Rental/Leasing
BAJAJCON,Consumer Non-Durables,Household/Personal Care
BAJAJELEC,Consumer Durables,Electronics/Appliances
BAJAJFINSV,Finance,Life/Health Insurance
BAJAJHCARE,Health Technology,Pharmaceuticals: Major
BAJAJHFL,Finance,Finance/Rental/Leasing
BAJAJHIND,Process Industries,Agricultural Commodities/Milling
BAJAJHLDNG,Finance,Financial Conglomerates
BAJAJINDEF,Producer Manufacturing,Trucks/Construction/Farm Machinery
BAJAJ_AUTO,Consumer Durables,Motor Vehicles
BAJEL,Industrial Services,Engineering & Construction
BAJFINANCE,Finance,Finance/Rental/Leasing
BALAJEE,Process Industries,Containers/Packaging
BALAJIPHOS,Process Industries,Chemicals: Agricultural
BALAJITELE,Consumer Services,Movies/Entertainment
BALAMINES,Process Industries,Chemicals: Specialty
BALAXI,Distribution Services,Medical Distributors
BALKRISIND,Consumer Durables,Automotive Aftermarket
BALMLAWRIE,Producer Manufacturing,Industrial Conglomerates
BALPHARMA,Health Technology,Pharmaceuticals: Major
BALRAMCHIN,Process Industries,Agricultural Commodities/Milling
BALUFORGE,Producer Manufacturing,Trucks/Construction/Farm Machinery
BANARISUG,Process Industries,Agricultural Commodities/Milling
BANCOINDIA,Producer Manufacturing,Industrial Machinery
BANDHANBNK,Finance,Major Banks
BANKBARODA,Finance,Major Banks
BANKINDIA,Finance,Major Banks
BANSALWIRE,Non-Energy Minerals,Steel
BANSWRAS,Process Industries,Textiles
BARFLEX,Process Industries,Containers/Packaging
BASF,Process Industries,Chemicals: Specialty
BASILIC,Consumer Services,Movies/Entertainment
BASML,Process Industries,Textiles
BATAINDIA,Consumer Non-Durables,Apparel/Footwear
BAYERCROP,Process Industries,Chemicals: Agricultural
BBL,Producer Manufacturing,Electrical Products
BBOX,Technology Services,Information Technology Services
BBTC,Consumer Non-Durables,Food: Major Diversified
BBTCL,Process Industries,Containers/Packaging
BCG,Technology Services,Packaged Software
BCLIND,Consumer Non-Durables,Food: Major Diversified
BCONCEPTS,Consumer Durables,Home Furnishings
BDL,Electronic Technology,Aerospace & Defense
BEACON,Miscellaneous,Investment Trusts/Mutual Funds
BEARDSELL,Process Industries,Industrial Specialties
BECTORFOOD,Consumer Non-Durables,Food: Specialty/Candy
BEDMUTHA,Non-Energy Minerals,Steel
BEL,Electronic Technology,Aerospace & Defense
BELLACASA,Consumer Durables,Home Furnishings
BELRISE,Producer Manufacturing,Auto Parts: OEM
BEML,Producer Manufacturing,Trucks/Construction/Farm Machinery
BEPL,Process Industries,Industrial Specialties
BERGEPAINT,Process Industries,Industrial Specialties
BESTAGRO,Process Industries,Chemicals: Agricultural
BETA,Health Technology,Pharmaceuticals: Major
BEWLTD,Producer Manufacturing,Industrial Machinery
BFINVEST,Finance,Financial Conglomerates
BFUTILITIE,Industrial Services,Engineering & Construction
BGRENERGY,Industrial Services,Engineering & Construction
BHADORA,Producer Manufacturing,Electrical Products
BHAGCHEM,Process Industries,Chemicals: Agricultural
BHAGERIA,Process Industries,Chemicals: Specialty
BHAGYANGR,Producer Manufacturing,Electrical Products
BHARATCOAL,Energy Minerals,Coal
BHARATFORG,Producer Manufacturing,Metal Fabrication
BHARATGEAR,Producer Manufacturing,Trucks/Construction/Farm Machinery
BHARATRAS,Process Industries,Chemicals: Agricultural
BHARATSE,Producer Manufacturing,Auto Parts: OEM
BHARATWIRE,Producer Manufacturing,Metal Fabrication
BHARTIARTL,Communications,Wireless Telecommunications
BHARTIHEXA,Communications,Wireless Telecommunications
BHEL,Producer Manufacturing,Electrical Products
BIGBLOC,Non-Energy Minerals,Construction Materials
BIKAJI,Consumer Non-Durables,Food: Specialty/Candy
BIL,Consumer Non-Durables,Consumer Sundries
BIOCON,Health Technology,Pharmaceuticals: Major
BIRET.RR,Finance,Real Estate Investment Trusts
BIRLACABLE,Producer Manufacturing,Electrical Products
BIRLACORPN,Non-Energy Minerals,Construction Materials
BIRLAMONEY,Finance,Investment Banks/Brokers
BIRLANU,Non-Energy Minerals,Forest Products
BLACKBUCK,Technology Services,Packaged Software
BLAL,Finance,Investment Managers
BLBLIMITED,Finance,Investment Banks/Brokers
BLISSGVS,Health Technology,Pharmaceuticals: Major
BLKASHYAP,Industrial Services,Engineering & Construction
BLS,Technology Services,Data Processing Services
BLSE,Technology Services,Internet Software/Services
BLUEDART,Transportation,Air Freight/Couriers
BLUEJET,Health Technology,Pharmaceuticals: Major
BLUESTARCO,Producer Manufacturing,Industrial Machinery
BLUESTONE,Retail Trade,Specialty Stores
BLUEWATER,Transportation,Air Freight/Couriers
BLUSPRING,Commercial Services,Miscellaneous Commercial Services
BMWVENTLTD,Distribution Services,Wholesale Distributors
BODALCHEM,Process Industries,Industrial Specialties
BOMDYEING,Process Industries,Textiles
BORANA,Process Industries,Textiles
BOROLTD,Producer Manufacturing,Miscellaneous Manufacturing
BORORENEW,Process Industries,Industrial Specialties
BOROSCI,Process Industries,Containers/Packaging
BOSCHLTD,Producer Manufacturing,Auto Parts: OEM
BOSCH_HCIL,Consumer Durables,Electronics/Appliances
BPCL,Energy Minerals,Oil Refining/Marketing
BPL,Electronic Technology,Telecommunications Equipment
BRANDMAN,Retail Trade,Apparel/Footwear Retail
BRIGADE,Finance,Real Estate Development
BRIGHOTEL,Consumer Services,Hotels/Resorts/Cruise lines
BRITANNIA,Consumer Non-Durables,Food: Specialty/Candy
BRNL,Industrial Services,Engineering & Construction
BROOKS,Health Technology,Pharmaceuticals: Major
BSE,Finance,Investment Banks/Brokers
BSHSL,Process Industries,Chemicals: Agricultural
BSL,Process Industries,Textiles
BSOFT,Technology Services,Packaged Software
BTML,Consumer Services,Movies/Entertainment
BUTTERFLY,Consumer Durables,Electronics/Appliances
BYKE,Consumer Services,Hotels/Resorts/Cruise lines
C2C,Technology Services,Packaged Software
CAMLINFINE,Process Industries,Chemicals: Specialty
CAMPUS,Consumer Non-Durables,Apparel/Footwear
CAMS,Technology Services,Information Technology Services
CANARYS,Technology Services,Information Technology Services
CANBK,Finance,Major Banks
CANFINHOME,Finance,Finance/Rental/Leasing
CANHLIFE,Finance,Life/Health Insurance
CANTABIL,Consumer Non-Durables,Apparel/Footwear
CAPACITE,Industrial Services,Engineering & Construction
CAPILLARY,Technology Services,Packaged Software
CAPITALSFB,Finance,Regional Banks
CAPLIPOINT,Health Technology,Pharmaceuticals: Major
CARBORUNIV,Process Industries,Industrial Specialties
CARERATING,Commercial Services,Financial Publishing/Services
CARRARO,Producer Manufacturing,Auto Parts: OEM
CARTRADE,Technology Services,Internet Software/Services
CARYSIL,Consumer Durables,Home Furnishings
CASTROLIND,Energy Minerals,Oil Refining/Marketing
CCAVENUE,Commercial Services,Miscellaneous Commercial Services
CCCL,Industrial Services,Engineering & Construction
CCHHL,Consumer Services,Other Consumer Services
CCL,Consumer Non-Durables,Food: Specialty/Candy
CDSL,Finance,Investment Banks/Brokers
CEATLTD,Consumer Durables,Automotive Aftermarket
CEIGALL,Industrial Services,Engineering & Construction
CEINSYS,Industrial Services,Engineering & Construction
CELLECOR,Consumer Durables,Electronics/Appliances
CELLO,Consumer Durables,Home Furnishings
CEMPRO,Industrial Services,Engineering & Construction
CENTENKA,Process Industries,Chemicals: Specialty
CENTEXT,Producer Manufacturing,Metal Fabrication
CENTRALBK,Finance,Major Banks
CENTRUM,Finance,Investment Managers
CENTUM,Electronic Technology,Electronic Components
CENTURYPLY,Producer Manufacturing,Building Products
CERA,Consumer Durables,Home Furnishings
CESC,Utilities,Electric Utilities
CEWATER,Industrial Services,Environmental Services
CGCL,Finance,Finance/Rental/Leasing
CGPOWER,Producer Manufacturing,Electrical Products
CGRAPHICS,Commercial Services,Commercial Printing/Forms
CHALET,Consumer Services,Hotels/Resorts/Cruise lines
CHAMBLFERT,Process Industries,Chemicals: Specialty
CHANDAN,Health Services,Medical/Nursing Services
CHAVDA,Consumer Durables,Homebuilding
CHEMBOND,Process Industries,Chemicals: Major Diversified
CHEMBONDCH,Process Industries,Chemicals: Major Diversified
CHEMCON,Process Industries,Chemicals: Specialty
CHEMFAB,Process Industries,Chemicals: Specialty
CHEMPLASTS,Process Industries,Chemicals: Major Diversified
CHENNPETRO,Energy Minerals,Oil Refining/Marketing
CHEVIOT,Process Industries,Textiles
CHOICEIN,Commercial Services,Miscellaneous Commercial Services
CHOLAFIN,Finance,Finance/Rental/Leasing
CHOLAHLDNG,Finance,Finance/Rental/Leasing
CIEINDIA,Producer Manufacturing,Auto Parts: OEM
CIFL,Finance,Finance/Rental/Leasing
CIGNITITEC,Technology Services,Information Technology Services
CINELINE,Consumer Services,Movies/Entertainment
CIPLA,Health Technology,Pharmaceuticals: Other
CKKRETAIL,Distribution Services,Food Distributors
CLEAN,Process Industries,Chemicals: Specialty
CLEDUCATE,Commercial Services,Miscellaneous Commercial Services
CLSEL,Process Industries,Agricultural Commodities/Milling
CMNL,Non-Energy Minerals,Steel
CMSINFO,Finance,Investment Managers
CNL,Distribution Services,Electronics Distributors
COALINDIA,Energy Minerals,Coal
COASTCORP,Transportation,Marine Shipping
COCHINSHIP,Producer Manufacturing,Trucks/Construction/Farm Machinery
COFFEEDAY,Consumer Services,Restaurants
COFORGE,Technology Services,Information Technology Services
COHANCE,Health Technology,Pharmaceuticals: Major
COLPAL,Consumer Non-Durables,Household/Personal Care
COMMITTED,Transportation,Trucking
COMPUSOFT,Technology Services,Information Technology Services
COMSYN,Process Industries,Containers/Packaging
CONCOR,Transportation,Railroads
CONCORDBIO,Commercial Services,Miscellaneous Commercial Services
CONFIPET,Retail Trade,Specialty Stores
CONNPLEX,Consumer Services,Movies/Entertainment
CONSOFINVT,Finance,Financial Conglomerates
CONTROLPR,Electronic Technology,Computer Peripherals
COOLCAPS,Producer Manufacturing,Miscellaneous Manufacturing
CORALFINAC,Finance,Investment Managers
CORDSCABLE,Producer Manufacturing,Electrical Products
COROMANDEL,Process Industries,Chemicals: Specialty
CORONA,Health Technology,Pharmaceuticals: Major
COSMOFIRST,Process Industries,Containers/Packaging
CPCAP,Consumer Services,Other Consumer Services
CPPLUS,Consumer Durables,Electronics/Appliances
CPS,Consumer Non-Durables,Apparel/Footwear
CRAFTSMAN,Producer Manufacturing,Trucks/Construction/Farm Machinery
CRAMC,Finance,Investment Managers
CREDITACC,Finance,Finance/Rental/Leasing
CREST,Finance,Investment Managers
CRISIL,Technology Services,Internet Software/Services
CRIZAC,Technology Services,Internet Software/Services
CROMPTON,Producer Manufacturing,Industrial Machinery
CROWN,Finance,Finance/Rental/Leasing
CSBBANK,Finance,Major Banks
CSLFINANCE,Finance,Investment Banks/Brokers
CSSL,Commercial Services,Miscellaneous Commercial Services
CUB,Finance,Regional Banks
CUBEXTUB,Non-Energy Minerals,Other Metals/Minerals
CUDML,Commercial Services,Advertising/Marketing Services
CUMMINSIND,Producer Manufacturing,Auto Parts: OEM
CUPID,Consumer Non-Durables,Household/Personal Care
CURRENT,Industrial Services,Engineering & Construction
CYBERTECH,Technology Services,Information Technology Services
CYIENT,Technology Services,Packaged Software
CYIENTDLM,Electronic Technology,Electronic Production Equipment
DABUR,Consumer Non-Durables,Household/Personal Care
DALBHARAT,Producer Manufacturing,Miscellaneous Manufacturing
DALMIASUG,Process Industries,Agricultural Commodities/Milling
DAMCAPITAL,Finance,Regional Banks
DANGEE,Consumer Non-Durables,Food: Specialty/Candy
DANISH,Producer Manufacturing,Electrical Products
DATAMATICS,Technology Services,Packaged Software
DATAPATTNS,Electronic Technology,Electronic Production Equipment
DAVANGERE,Process Industries,Agricultural Commodities/Milling
DBCORP,Consumer Services,Publishing: Newspapers
DBEIL,Industrial Services,Engineering & Construction
DBL,Industrial Services,Engineering & Construction
DBOL,Process Industries,Agricultural Commodities/Milling
DBREALTY,Finance,Real Estate Development
DCAL,Health Technology,Pharmaceuticals: Major
DCBBANK,Finance,Regional Banks
DCG,Non-Energy Minerals,Other Metals/Minerals
DCI,Electronic Technology,Telecommunications Equipment
DCM,Technology Services,Information Technology Services
DCMNVL,Process Industries,Textiles
DCMSHRIRAM,Producer Manufacturing,Industrial Conglomerates
DCMSRIND,Process Industries,Agricultural Commodities/Milling
DCW,Process Industries,Chemicals: Specialty
DCXINDIA,Producer Manufacturing,Electrical Products
DDEVPLSTIK,Process Industries,Chemicals: Major Diversified
DECCANCE,Non-Energy Minerals,Construction Materials
DEEDEV,Producer Manufacturing,Industrial Machinery
DEEPAKFERT,Process Industries,Chemicals: Agricultural
DEEPAKNTR,Process Industries,Chemicals: Specialty
DEEPINDS,Industrial Services,Oilfield Services/Equipment
DELHIVERY,Transportation,Air Freight/Couriers
DELPHIFX,Commercial Services,Miscellaneous Commercial Services
DELTACORP,Consumer Services,Movies/Entertainment
DEN,Consumer Services,Cable/Satellite TV
DENEERS,Distribution Services,Wholesale Distributors
DENORA,Electronic Technology,Electronic Equipment/Instruments
DENTA,Industrial Services,Engineering & Construction
DENTALKART,Retail Trade,Specialty Stores
DESTINY,Transportation,Air Freight/Couriers
DEVIT,Technology Services,Information Technology Services
DEVX,Finance,Real Estate Development
DEVYANI,Consumer Services,Restaurants
DGCONTENT,Commercial Services,Commercial Printing/Forms
DHAMPURSUG,Process Industries,Agricultural Commodities/Milling
DHANBANK,Finance,Major Banks
DHANUKA,Process Industries,Chemicals: Specialty
DHARARAIL,Industrial Services,Engineering & Construction
DHARIWAL,Consumer Non-Durables,Household/Personal Care
DHARMAJ,Process Industries,Chemicals: Agricultural
DHUNINV,Process Industries,Chemicals: Specialty
DIACABS,Producer Manufacturing,Electrical Products
DIAMINESQ,Process Industries,Chemicals: Major Diversified
DIAMONDYD,Consumer Non-Durables,Food: Specialty/Candy
DICIND,Process Industries,Industrial Specialties
DIFFNKG,Producer Manufacturing,Industrial Machinery
DIGIKORE,Consumer Services,Movies/Entertainment
DIGISPICE,Technology Services,Packaged Software
DIGITIDE,Commercial Services,Miscellaneous Commercial Services
DISHTV,Communications,Specialty Telecommunications
DIVGIITTS,Producer Manufacturing,Auto Parts: OEM
DIVINEHIRA,Consumer Durables,Other Consumer Specialties
DIVISLAB,Health Technology,Pharmaceuticals: Major
DIXON,Electronic Technology,Electronic Production Equipment
DJML,Commercial Services,Commercial Printing/Forms
DLF,Finance,Real Estate Development
DLINKINDIA,Electronic Technology,Telecommunications Equipment
DMART,Retail Trade,Specialty Stores
DMCC,Process Industries,Chemicals: Major Diversified
DODLA,Consumer Non-Durables,Food: Meat/Fish/Dairy
DOLATALGO,Finance,Investment Banks/Brokers
DOLLAR,Consumer Non-Durables,Apparel/Footwear
DOLPHIN,Industrial Services,Oilfield Services/Equipment
DOMS,Producer Manufacturing,Office Equipment/Supplies
DONEAR,Process Industries,Textiles
DPABHUSHAN,Retail Trade,Specialty Stores
DPEL,Producer Manufacturing,Electrical Products
DPSCLTD,Utilities,Electric Utilities
DPWIRES,Producer Manufacturing,Metal Fabrication
DRCSYSTEMS,Technology Services,Packaged Software
DREAMFOLKS,Transportation,Other Transportation
DREDGECORP,Transportation,Marine Shipping
DRONE,Electronic Technology,Aerospace & Defense
DRREDDY,Health Technology,Pharmaceuticals: Major
DRSDILIP,Transportation,Trucking
DSSL,Technology Services,Information Technology Services
DTIL,Process Industries,Agricultural Commodities/Milling
DUCOL,Process Industries,Chemicals: Specialty
DUCON,Distribution Services,Electronics Distributors
DUGLOBAL,Commercial Services,Miscellaneous Commercial Services
DVL,Consumer Non-Durables,Food: Major Diversified
DWARKESH,Process Industries,Agricultural Commodities/Milling
DYCL,Producer Manufacturing,Electrical Products
DYNAMATECH,Producer Manufacturing,Industrial Machinery
DYNAMIC,Commercial Services,Miscellaneous Commercial Services
DYNPRO,Consumer Non-Durables,Food: Specialty/Candy
E2E,Technology Services,Information Technology Services
E2ERAIL,Industrial Services,Engineering & Construction
EASEMYTRIP,Consumer Services,Other Consumer Services
EBGNG,Technology Services,Information Technology Services
ECLERX,Commercial Services,Miscellaneous Commercial Services
ECOLINE,Consumer Durables,Home Furnishings
ECOSMOBLTY,Finance,Finance/Rental/Leasing
EDELWEISS,Finance,Investment Banks/Brokers
EEPL,Producer Manufacturing,Electrical Products
EFACTOR,Commercial Services,Miscellaneous Commercial Services
EFCIL,Distribution Services,Wholesale Distributors
EFFWA,Industrial Services,Environmental Services
EICHERMOT,Consumer Durables,Motor Vehicles
EIDPARRY,Process Industries,Chemicals: Agricultural
EIEL,Industrial Services,Environmental Services
EIFFL,Consumer Non-Durables,Food: Specialty/Candy
EIHAHOTELS,Consumer Services,Hotels/Resorts/Cruise lines
EIHOTEL,Consumer Services,Hotels/Resorts/Cruise lines
EIMCOELECO,Producer Manufacturing,Trucks/Construction/Farm Machinery
EKC,Producer Manufacturing,Industrial Machinery
ELDEHSG,Finance,Real Estate Development
ELECON,Producer Manufacturing,Electrical Products
ELECTCAST,Non-Energy Minerals,Steel
ELECTHERM,Non-Energy Minerals,Steel
ELGIEQUIP,Producer Manufacturing,Industrial Machinery
ELGIRUBCO,Producer Manufacturing,Miscellaneous Manufacturing
ELGNZ,Industrial Services,Engineering & Construction
ELIN,Electronic Technology,Electronic Production Equipment
ELLEN,Process Industries,Chemicals: Specialty
EMAMILTD,Consumer Non-Durables,Household/Personal Care
EMAMIPAP,Process Industries,Pulp & Paper
EMAMIREAL,Finance,Real Estate Development
EMAPARTNER,Commercial Services,Personnel Services
EMBASSY.RR,Finance,Real Estate Investment Trusts
EMBDL,Finance,Real Estate Development
EMCURE,Health Technology,Pharmaceuticals: Major
EMIL,Retail Trade,Electronics/Appliance Stores
EMKAY,Finance,Investment Managers
EMKAYTOOLS,Producer Manufacturing,Industrial Machinery
EMMBI,Process Industries,Containers/Packaging
EMMIL,Producer Manufacturing,Industrial Machinery
EMMVEE,Electronic Technology,Semiconductors
EMSLIMITED,Industrial Services,Engineering & Construction
EMUDHRA,Technology Services,Packaged Software
ENCOMPAS,Consumer Durables,Home Furnishings
ENDURANCE,Producer Manufacturing,Metal Fabrication
ENFUSE,Technology Services,Information Technology Services
ENGINERSIN,Industrial Services,Engineering & Construction
ENIL,Consumer Services,Broadcasting
ENRIN,Producer Manufacturing,Electrical Products
ENTERO,Distribution Services,Medical Distributors
ENVIRO,Producer Manufacturing,Industrial Machinery
EPACK,Producer Manufacturing,Industrial Machinery
